antecedent,consequent,support,confidence,lift
"('CUSTOMERS.AFFECTED_level=Medium', 'is_high_fire_activity')","('acres_7day_level=High',)",0.1905,0.625,1.875
"('CUSTOMERS.AFFECTED_level=Medium', 'acres_7day_level=High')","('is_high_fire_activity',)",0.1905,0.7547,1.6683
"('acres_7day_level=High',)","('is_high_fire_activity', 'is_wildfire_season')",0.2286,0.6857,1.8947
"('is_high_fire_activity', 'is_wildfire_season')","('acres_7day_level=High',)",0.2286,0.6316,1.8947
"('acres_7day_level=High', 'is_high_fire_activity')","('is_wildfire_season',)",0.2286,0.8571,1.7476
"('acres_7day_level=High', 'is_wildfire_season')","('is_high_fire_activity',)",0.2286,0.8571,1.8947
"('fires_7day_level=High',)","('acres_7day_level=High', 'is_high_fire_activity')",0.2238,0.6714,2.5179
"('acres_7day_level=High',)","('fires_7day_level=High', 'is_high_fire_activity')",0.2238,0.6714,2.0735
"('fires_7day_level=High', 'is_high_fire_activity')","('acres_7day_level=High',)",0.2238,0.6912,2.0735
"('acres_7day_level=High', 'is_high_fire_activity')","('fires_7day_level=High',)",0.2238,0.8393,2.5179
"('acres_7day_level=High', 'fires_7day_level=High')","('is_high_fire_activity',)",0.2238,0.9592,2.1203
"('acres_7day_level=High',)","('has_active_fire', 'is_high_fire_activity')",0.2667,0.8,1.7684
"('acres_7day_level=High', 'is_high_fire_activity')","('has_active_fire',)",0.2667,1.0,1.0881
"('acres_7day_level=High', 'has_active_fire')","('is_high_fire_activity',)",0.2667,0.8,1.7684
"('is_high_fire_activity', 'max_frp_level=High')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1857,0.7358,1.0512
"('CUSTOMERS.AFFECTED_level=Medium', 'is_high_fire_activity')","('max_frp_level=High',)",0.1857,0.6094,1.8281
"('CUSTOMERS.AFFECTED_level=Medium', 'max_frp_level=High')","('is_high_fire_activity',)",0.1857,0.7222,1.5965
"('max_frp_level=High',)","('is_high_fire_activity', 'is_wildfire_season')",0.219,0.6571,1.8158
"('is_high_fire_activity', 'is_wildfire_season')","('max_frp_level=High',)",0.219,0.6053,1.8158
